gene,chr
DDX11L1,1
WASH7P,1
MIR6859-1,1
RP11-34P13.3,1
MIR1302-2,1
FAM138A,1
OR4G4P,1
OR4G11P,1
OR4F5,1
RP11-34P13.7,1
RP11-34P13.8,1
RP11-34P13.10,1
RP11-34P13.15,1
RP11-34P13.16,1
RP11-34P13.14,1
RP11-34P13.13,1
RNU6-1100P,1
RP11-34P13.9,1
ABC7-43046700E7.1,1
RP11-34P13.18,1
MIR6859-2,1
AP006222.1,1
RPL23AP24,1
RP4-669L17.2,1
RP4-669L17.4,1
RP4-669L17.6,1
OR4F29,1
CICP7,1
RP4-669L17.8,1
RF00026,X
RP11-206L10.17,1
RP5-857K21.2,1
RP5-857K21.9,1
RP5-857K21.8,1
RP5-857K21.6,1
MIR6723,1
RP5-857K21.7,1
RP5-857K21.14,1
RP5-857K21.10,1
RP5-857K21.11,1
RP5-857K21.12,1
OR4F16,1
RP11-206L10.15,1
RP11-206L10.2,1
RNU6-1199P,1
RP11-206L10.4,1
RP11-206L10.9,1
RP11-206L10.18,1
RP11-206L10.8,1
FAM87B,1
RP11-206L10.11,1
NCRNA00115,1
FAM41C,1
TUBB8P11,1
FAM166AP3,1
RP11-54O7.16,1
RP11-54O7.1,1
RP11-54O7.2,1
RP11-54O7.3,1
SAMD11,1
NOC2L,1
KLHL17,1
PLEKHN1,1
PERM1,1
RP11-54O7.17,1
HES4,1
ISG15,1
RP11-54O7.10,1
RP11-54O7.11,1
AGRN,1
RP11-54O7.14,1
RP11-465B22.3,1
RP11-54O7.18,1
RNF223,1
C1orf159,1
RP11-465B22.5,1
MIR200B,1
MIR200A,1
MIR429,1
RP11-465B22.8,1
RP11-465B22.6,1
TTLL10,1
TNFRSF18,1
TNFRSF4,1
SDF4,1
B3GALT6,1
C1QTNF12,1
RP5-902P8.12,1
UBE2J2,1
RP5-902P8.10,1
SCNN1D,1
ACAP3,1
MIR6726,1
PUSL1,1
INTS11,1
MIR6727,1
RP5-890O3.9,1
CPTP,1
TAS1R3,1
DVL1,1
MIR6808,1
MXRA8,1
AURKAIP1,1
RP5-890O3.3,1
CCNL2,1
RP4-758J18.2,1
MRPL20,1
RN7SL657P,1
RP4-758J18.13,1
ANKRD65,1
RP4-758J18.7,1
TMEM88B,1
RP4-758J18.10,1
VWA1,1
ATAD3C,1
ATAD3B,1
RP5-832C2.8,1
ATAD3A,1
TMEM240,1
SSU72,1
RP5-832C2.5,1
RP11-345P4.11,1
C1orf233,1
RP11-345P4.9,1
MIB2,1
MMP23B,1
CDK11B,1
RP11-345P4.10,1
SLC35E2B,1
RP11-345P4.6,1
MMP23A,1
CDK11A,1
RP1-283E3.8,1
RP1-283E3.4,1
SLC35E2,1
NADK,1
GNB1,1
RP1-140A9.1,1
CALML6,1
TMEM52,1
CFAP74,1
RP11-547D24.1,1
GABRD,1
RP11-547D24.3,1
PRKCZ,1
RP5-892K4.1,1
RP11-181G12.2,1
FAAP20,1
RP11-181G12.4,1
SKI,1
MORN1,1
RP4-713A8.1,1
RP4-740C4.5,1
RP4-740C4.7,1
RER1,1
PEX10,1
PLCH2,1
RP3-395M20.2,1
RP3-395M20.3,1
PANK4,1
HES5,1
RP3-395M20.12,1
RP3-395M20.8,1
TNFRSF14,1
RP3-395M20.7,1
RP3-395M20.9,1
FAM213B,1
MMEL1,1
RP13-436F16.1,1
TTC34,1
ABC14-1188822O7.1,1
RP11-740P5.2,1
RP11-740P5.3,1
RP5-907A6.1,1
ACTRT2,1
RP1-163G9.1,1
PRDM16,1
MIR4251,1
RP1-163G9.2,1
RP11-193J6.1,1
RP11-22L13.1,1
ARHGEF16,1
RP11-168F9.2,1
MEGF6,1
MIR551A,1
RP11-46F15.2,1
TPRG1L,1
WRAP73,1
TP73,1
RP5-1092A11.5,1
RP5-1092A11.2,1
TP73-AS1,1
RF02197,1
CCDC27,1
SMIM1,1
LRRC47,1
RN7SL574P,1
RP1-286D6.5,1
CEP104,1
DFFB,1
C1orf174,1
RP13-15E13.1,1
RP13-614K11.1,1
RP13-614K11.2,1
RP11-718D19.1,1
RP11-718D19.2,1
RP11-374C13.1,1
RP5-1166F10.1,1
RP5-1166F10.2,1
RP1-37J18.1,1
RP1-37J18.2,1
AJAP1,1
RP4-603B14.2,1
RP4-603B14.1,1
RP11-542C10.1,1
RP4-703E10.1,1
RP1-58B11.2,1
RP1-58B11.3,1
RP1-58B11.1,1
RP3-491M17.1,1
RP11-154H17.1,1
MIR4417,1
MIR4689,1
NPHP4,1
KCNAB2,1
CHD5,1
RPL22,1
RP1-120G22.11,1
RNF207,1
ICMT,1
LINC00337,1
HES3,1
GPR153,1
ACOT7,1
RP1-202O8.3,1
HES2,1
ESPN,1
MIR4252,1
RP1-202O8.2,1
TNFRSF25,1
PLEKHG5,1
NOL9,1
RNU6-731P,1
RP11-58A11.2,1
TAS1R1,1
ZBTB48,1
KLHL21,1
PHF13,1
THAP3,1
DNAJC11,1
RP11-242F24.1,1
RP11-242F24.2,1
RP11-312B8.1,1
CAMTA1,1
RP11-312B8.2,1
RP11-334N17.1,1
RNU1-8P,1
RP3-453P22.1,1
RP3-453P22.2,1
RP4-549F15.1,1
RP11-338N10.1,1
